Index,county,tax_year,average_ny_agi_of_all_returns
1999-Albany,Albany,1999,42564
1999-Allegany,Allegany,1999,28811
1999-Bronx,Bronx,1999,27377
1999-Broome,Broome,1999,35090
1999-Cattaraugus,Cattaraugus,1999,29862
1999-Cayuga,Cayuga,1999,32179
1999-Chautauqua,Chautauqua,1999,30337
1999-Chemung,Chemung,1999,34661
1999-Chenango,Chenango,1999,31554
1999-Clinton,Clinton,1999,33651
1999-Columbia,Columbia,1999,39863
1999-Cortland,Cortland,1999,31476
1999-Delaware,Delaware,1999,29741
1999-Dutchess,Dutchess,1999,47876
1999-Erie,Erie,1999,38554
1999-Essex,Essex,1999,32003
1999-Franklin,Franklin,1999,28465
1999-Fulton,Fulton,1999,30699
1999-Genesee,Genesee,1999,32961
1999-Greene,Greene,1999,33299
1999-Hamilton,Hamilton,1999,28949
1999-Herkimer,Herkimer,1999,28806
1999-Jefferson,Jefferson,1999,30875
1999-Kings,Kings,1999,33244
1999-Lewis,Lewis,1999,28603
1999-Livingston,Livingston,1999,35640
1999-Madison,Madison,1999,36241
1999-Monroe,Monroe,1999,44136
1999-Montgomery,Montgomery,1999,29756
1999-Nassau,Nassau,1999,73240
1999-New York,New York,1999,108851
1999-Niagara,Niagara,1999,33862
1999-Oneida,Oneida,1999,33359
1999-Onondaga,Onondaga,1999,41289
1999-Ontario,Ontario,1999,40722
1999-Orange,Orange,1999,45758
1999-Orleans,Orleans,1999,30748
1999-Oswego,Oswego,1999,34171
1999-Otsego,Otsego,1999,33530
1999-Putnam,Putnam,1999,60500
1999-Queens,Queens,1999,33951
1999-Rensselaer,Rensselaer,1999,36448
1999-Richmond,Richmond,1999,47084
1999-Rockland,Rockland,1999,60353
1999-Saratoga,Saratoga,1999,44636
1999-Schenectady,Schenectady,1999,40149
1999-Schoharie,Schoharie,1999,31493
1999-Schuyler,Schuyler,1999,30157
1999-Seneca,Seneca,1999,31032
1999-St Lawrence,St Lawrence,1999,30632
1999-Steuben,Steuben,1999,34974
1999-Suffolk,Suffolk,1999,55961
1999-Sullivan,Sullivan,1999,34273
1999-Tioga,Tioga,1999,34944
1999-Tompkins,Tompkins,1999,41700
1999-Ulster,Ulster,1999,38207
1999-Warren,Warren,1999,36813
1999-Washington,Washington,1999,30669
1999-Wayne,Wayne,1999,36210
1999-Westchester,Westchester,1999,95137
1999-Wyoming,Wyoming,1999,33390
1999-Yates,Yates,1999,30706
2000-Albany,Albany,2000,44882
2000-Allegany,Allegany,2000,29689
2000-Bronx,Bronx,2000,27707
2000-Broome,Broome,2000,36412
2000-Cattaraugus,Cattaraugus,2000,31477
2000-Cayuga,Cayuga,2000,33367
2000-Chautauqua,Chautauqua,2000,31255
2000-Chemung,Chemung,2000,37833
2000-Chenango,Chenango,2000,32028
2000-Clinton,Clinton,2000,34394
2000-Columbia,Columbia,2000,41043
2000-Cortland,Cortland,2000,33114
2000-Delaware,Delaware,2000,30018
2000-Dutchess,Dutchess,2000,51598
2000-Erie,Erie,2000,40688
2000-Essex,Essex,2000,34134
2000-Franklin,Franklin,2000,30934
2000-Fulton,Fulton,2000,31988
2000-Genesee,Genesee,2000,33291
2000-Greene,Greene,2000,35401
2000-Hamilton,Hamilton,2000,29231
2000-Herkimer,Herkimer,2000,30123
2000-Jefferson,Jefferson,2000,31315
2000-Kings,Kings,2000,34820
2000-Lewis,Lewis,2000,29403
2000-Livingston,Livingston,2000,36557
2000-Madison,Madison,2000,37813
2000-Monroe,Monroe,2000,45101
2000-Montgomery,Montgomery,2000,30850
2000-Nassau,Nassau,2000,80454
2000-New York,New York,2000,131395
2000-Niagara,Niagara,2000,34735
2000-Oneida,Oneida,2000,34301
2000-Onondaga,Onondaga,2000,42544
2000-Ontario,Ontario,2000,41341
2000-Orange,Orange,2000,47845
2000-Orleans,Orleans,2000,33140
2000-Oswego,Oswego,2000,33533
2000-Otsego,Otsego,2000,33915
2000-Putnam,Putnam,2000,64882
2000-Queens,Queens,2000,35278
2000-Rensselaer,Rensselaer,2000,38482
2000-Richmond,Richmond,2000,49283
2000-Rockland,Rockland,2000,64000
2000-Saratoga,Saratoga,2000,46907
2000-Schenectady,Schenectady,2000,41587
2000-Schoharie,Schoharie,2000,32275
2000-Schuyler,Schuyler,2000,30923
2000-Seneca,Seneca,2000,35285
2000-St Lawrence,St Lawrence,2000,31509
2000-Steuben,Steuben,2000,45011
2000-Suffolk,Suffolk,2000,59778
2000-Sullivan,Sullivan,2000,35026
2000-Tioga,Tioga,2000,36224
2000-Tompkins,Tompkins,2000,45252
2000-Ulster,Ulster,2000,40712
2000-Warren,Warren,2000,38247
2000-Washington,Washington,2000,31737
2000-Wayne,Wayne,2000,37507
2000-Westchester,Westchester,2000,108980
2000-Wyoming,Wyoming,2000,33392
2000-Yates,Yates,2000,31718
2001-Albany,Albany,2001,43983
2001-Allegany,Allegany,2001,30259
2001-Bronx,Bronx,2001,28122
2001-Broome,Broome,2001,35342
2001-Cattaraugus,Cattaraugus,2001,30178
2001-Cayuga,Cayuga,2001,33232
2001-Chautauqua,Chautauqua,2001,30735
2001-Chemung,Chemung,2001,36056
2001-Chenango,Chenango,2001,30955
2001-Clinton,Clinton,2001,34774
2001-Columbia,Columbia,2001,40793
2001-Cortland,Cortland,2001,33163
2001-Delaware,Delaware,2001,29905
2001-Dutchess,Dutchess,2001,51247
2001-Erie,Erie,2001,38810
2001-Essex,Essex,2001,32579
2001-Franklin,Franklin,2001,30265
2001-Fulton,Fulton,2001,32042
2001-Genesee,Genesee,2001,33469
2001-Greene,Greene,2001,34551
2001-Hamilton,Hamilton,2001,29064
2001-Herkimer,Herkimer,2001,29955
2001-Jefferson,Jefferson,2001,31015
2001-Kings,Kings,2001,34770
2001-Lewis,Lewis,2001,29386
2001-Livingston,Livingston,2001,35654
2001-Madison,Madison,2001,37850
2001-Monroe,Monroe,2001,43189
2001-Montgomery,Montgomery,2001,31461
2001-Nassau,Nassau,2001,74128
2001-New York,New York,2001,113769
2001-Niagara,Niagara,2001,34354
2001-Oneida,Oneida,2001,33746
