Index,year,county,property,violent,total_index_crimes
1990-Albany,1990,Albany,12894,1524,14418
1990-Allegany,1990,Allegany,1134,146,1280
1990-Bronx,1990,Bronx,71094,33635,104729
1990-Broome,1990,Broome,7174,306,7480
1990-Cattaraugus,1990,Cattaraugus,2407,171,2578
1990-Cayuga,1990,Cayuga,2135,196,2331
1990-Chautauqua,1990,Chautauqua,5484,229,5713
1990-Chemung,1990,Chemung,3532,284,3816
1990-Chenango,1990,Chenango,1100,78,1178
1990-Clinton,1990,Clinton,1979,242,2221
1990-Columbia,1990,Columbia,1701,253,1954
1990-Cortland,1990,Cortland,2027,96,2123
1990-Delaware,1990,Delaware,1019,73,1092
1990-Dutchess,1990,Dutchess,7853,1104,8957
1990-Erie,1990,Erie,44924,7390,52314
1990-Essex,1990,Essex,881,78,959
1990-Franklin,1990,Franklin,940,226,1166
1990-Fulton,1990,Fulton,2161,98,2259
1990-Genesee,1990,Genesee,1558,89,1647
1990-Greene,1990,Greene,1235,205,1440
1990-Hamilton,1990,Hamilton,96,4,100
1990-Herkimer,1990,Herkimer,1210,77,1287
1990-Jefferson,1990,Jefferson,2948,187,3135
1990-Kings,1990,Kings,138922,63087,202009
1990-Lewis,1990,Lewis,286,36,322
1990-Livingston,1990,Livingston,1768,147,1915
1990-Madison,1990,Madison,1853,60,1913
1990-Monroe,1990,Monroe,39262,3317,42579
1990-Montgomery,1990,Montgomery,981,34,1015
1990-Nassau,1990,Nassau,38919,3223,42142
1990-New York,1990,New York,173352,44434,217786
1990-Niagara,1990,Niagara,8824,986,9810
1990-Oneida,1990,Oneida,7360,388,7748
1990-Onondaga,1990,Onondaga,20077,1746,21823
1990-Ontario,1990,Ontario,2467,121,2588
1990-Orange,1990,Orange,9786,1339,11125
1990-Orleans,1990,Orleans,945,159,1104
1990-Oswego,1990,Oswego,3268,106,3374
1990-Otsego,1990,Otsego,1148,66,1214
1990-Putnam,1990,Putnam,1768,135,1903
1990-Queens,1990,Queens,134738,30441,165179
1990-Rensselaer,1990,Rensselaer,5037,401,5438
1990-Richmond,1990,Richmond,18761,3092,21853
1990-Rockland,1990,Rockland,7799,709,8508
1990-Saratoga,1990,Saratoga,4676,476,5152
1990-Schenectady,1990,Schenectady,5537,387,5924
1990-Schoharie,1990,Schoharie,697,52,749
1990-Schuyler,1990,Schuyler,627,19,646
1990-Seneca,1990,Seneca,741,52,793
1990-St Lawrence,1990,St Lawrence,3260,281,3541
1990-Steuben,1990,Steuben,3164,246,3410
1990-Suffolk,1990,Suffolk,57514,3786,61300
1990-Sullivan,1990,Sullivan,2869,300,3169
1990-Tioga,1990,Tioga,794,121,915
1990-Tompkins,1990,Tompkins,4352,143,4495
1990-Ulster,1990,Ulster,4929,613,5542
1990-Warren,1990,Warren,2221,285,2506
1990-Washington,1990,Washington,1232,180,1412
1990-Wayne,1990,Wayne,2425,179,2604
1990-Westchester,1990,Westchester,34274,3871,38145
1990-Wyoming,1990,Wyoming,1142,212,1354
1990-Yates,1990,Yates,473,34,507
1991-Albany,1991,Albany,13790,1674,15464
1991-Allegany,1991,Allegany,1283,134,1417
1991-Bronx,1991,Bronx,66556,33515,100071
1991-Broome,1991,Broome,7108,339,7447
1991-Cattaraugus,1991,Cattaraugus,2366,273,2639
1991-Cayuga,1991,Cayuga,2338,216,2554
1991-Chautauqua,1991,Chautauqua,5245,227,5472
1991-Chemung,1991,Chemung,3934,256,4190
1991-Chenango,1991,Chenango,1146,97,1243
1991-Clinton,1991,Clinton,2247,269,2516
1991-Columbia,1991,Columbia,1960,363,2323
1991-Cortland,1991,Cortland,2110,83,2193
1991-Delaware,1991,Delaware,1127,75,1202
1991-Dutchess,1991,Dutchess,8266,974,9240
1991-Erie,1991,Erie,47137,8277,55414
1991-Essex,1991,Essex,817,82,899
1991-Franklin,1991,Franklin,950,197,1147
1991-Fulton,1991,Fulton,2129,123,2252
1991-Genesee,1991,Genesee,1645,107,1752
1991-Greene,1991,Greene,1405,221,1626
1991-Hamilton,1991,Hamilton,148,10,158
1991-Herkimer,1991,Herkimer,1504,104,1608
1991-Jefferson,1991,Jefferson,3000,202,3202
1991-Kings,1991,Kings,130445,60814,191259
