Index,year,county,population,firearm_count
2017-Albany,2017,Albany,310352,145
2017-Allegany,2017,Allegany,46878,6
2017-Bronx,2017,Bronx,1470074,1270
2017-Broome,2017,Broome,194923,72
2017-Cattaraugus,2017,Cattaraugus,75611,19
2017-Cayuga,2017,Cayuga,77712,21
2017-Chautauqua,2017,Chautauqua,128942,43
2017-Chemung,2017,Chemung,86084,24
2017-Chenango,2017,Chenango,48397,3
2017-Clinton,2017,Clinton,81093,4
2017-Columbia,2017,Columbia,60796,19
2017-Cortland,2017,Cortland,47986,1
2017-Delaware,2017,Delaware,44468,4
2017-Dutchess,2017,Dutchess,294598,73
2017-Erie,2017,Erie,923447,930
2017-Essex,2017,Essex,36491,6
2017-Franklin,2017,Franklin,50324,10
2017-Fulton,2017,Fulton,53556,9
2017-Genesee,2017,Genesee,58252,8
2017-Greene,2017,Greene,47352,5
2017-Hamilton,2017,Hamilton,4505,0
2017-Herkimer,2017,Herkimer,62458,8
2017-Jefferson,2017,Jefferson,113858,22
2017-Kings,2017,Kings,2646816,1753
2017-Lewis,2017,Lewis,26893,3
2017-Livingston,2017,Livingston,64242,3
2017-Madison,2017,Madison,71146,8
2017-Monroe,2017,Monroe,749892,731
2017-Montgomery,2017,Montgomery,49222,5
2017-Nassau,2017,Nassau,1367901,206
2017-New York,2017,New York,1663498,639
2017-Niagara,2017,Niagara,211460,166
2017-Oneida,2017,Oneida,231112,94
2017-Onondaga,2017,Onondaga,467033,228
2017-Ontario,2017,Ontario,110349,7
2017-Orange,2017,Orange,381037,120
2017-Orleans,2017,Orleans,41194,15
2017-Oswego,2017,Oswego,118741,15
2017-Otsego,2017,Otsego,59891,6
2017-Putnam,2017,Putnam,98971,2
2017-Queens,2017,Queens,2356841,932
2017-Rensselaer,2017,Rensselaer,160555,90
2017-Richmond,2017,Richmond,479104,153
2017-Rockland,2017,Rockland,329966,27
2017-Saratoga,2017,Saratoga,228753,27
2017-Schenectady,2017,Schenectady,154847,100
2017-Schoharie,2017,Schoharie,31166,1
2017-Schuyler,2017,Schuyler,18106,1
2017-Seneca,2017,Seneca,34779,1
2017-Steuben,2017,Steuben,96823,12
2017-St Lawrence,2017,St Lawrence,109995,12
2017-Suffolk,2017,Suffolk,1495619,364
2017-Sullivan,2017,Sullivan,74545,10
2017-Tioga,2017,Tioga,48507,3
2017-Tompkins,2017,Tompkins,105637,16
2017-Ulster,2017,Ulster,179106,30
2017-Warren,2017,Warren,64530,4
2017-Washington,2017,Washington,61690,1
2017-Wayne,2017,Wayne,90519,8
2017-Westchester,2017,Westchester,980819,291
2017-Wyoming,2017,Wyoming,40666,5
2017-Yates,2017,Yates,24910,2
2016-Albany,2016,Albany,308401,126
2016-Allegany,2016,Allegany,46858,5
2016-Bronx,2016,Bronx,1458255,0
2016-Broome,2016,Broome,194518,57
2016-Cattaraugus,2016,Cattaraugus,75126,12
2016-Cayuga,2016,Cayuga,77462,14
2016-Chautauqua,2016,Chautauqua,129139,57
2016-Chemung,2016,Chemung,86124,23
2016-Chenango,2016,Chenango,48229,4
2016-Clinton,2016,Clinton,80553,7
2016-Columbia,2016,Columbia,60806,12
2016-Cortland,2016,Cortland,48022,2
2016-Delaware,2016,Delaware,44601,4
2016-Dutchess,2016,Dutchess,293404,70
2016-Erie,2016,Erie,917172,1154
2016-Essex,2016,Essex,36615,4
2016-Franklin,2016,Franklin,50135,7
2016-Fulton,2016,Fulton,53221,10
2016-Genesee,2016,Genesee,58209,9
2016-Greene,2016,Greene,47019,5
2016-Hamilton,2016,Hamilton,4657,0
2016-Herkimer,2016,Herkimer,62419,5
2016-Jefferson,2016,Jefferson,117080,24
2016-Kings,2016,Kings,2641827,0
2016-Lewis,2016,Lewis,26758,3
2016-Livingston,2016,Livingston,64186,8
2016-Madison,2016,Madison,71064,5
2016-Monroe,2016,Monroe,745585,786
2016-Montgomery,2016,Montgomery,49187,8
2016-Nassau,2016,Nassau,1356246,314
2016-New York,2016,New York,1647694,0
2016-Niagara,2016,Niagara,210491,162
2016-Oneida,2016,Oneida,230500,111
2016-Onondaga,2016,Onondaga,465564,303
2016-Ontario,2016,Ontario,109105,12
2016-Orange,2016,Orange,375993,179
2016-Orleans,2016,Orleans,41061,9
2016-Oswego,2016,Oswego,118961,15
2016-Otsego,2016,Otsego,59929,7
2016-Putnam,2016,Putnam,98238,2
2016-Queens,2016,Queens,2343667,0
2016-Rensselaer,2016,Rensselaer,159384,87
2016-Richmond,2016,Richmond,475474,0
2016-Rockland,2016,Rockland,326643,30
2016-Saratoga,2016,Saratoga,225997,13
2016-Schenectady,2016,Schenectady,153524,104
2016-Schoharie,2016,Schoharie,30860,2
2016-Schuyler,2016,Schuyler,18042,3
2016-Seneca,2016,Seneca,34522,5
2016-Steuben,2016,Steuben,96718,8
2016-St Lawrence,2016,St Lawrence,110113,14
2016-Suffolk,2016,Suffolk,1492991,426
2016-Sullivan,2016,Sullivan,73885,22
2016-Tioga,2016,Tioga,48810,6
2016-Tompkins,2016,Tompkins,104871,15
2016-Ulster,2016,Ulster,178502,22
2016-Warren,2016,Warren,64064,2
2016-Washington,2016,Washington,61610,3
2016-Wayne,2016,Wayne,90389,8
2016-Westchester,2016,Westchester,975138,329
2016-Wyoming,2016,Wyoming,40531,1
2016-Yates,2016,Yates,24823,2
2015-Albany,2015,Albany,308613,114
2015-Allegany,2015,Allegany,47336,1
2015-Bronx,2015,Bronx,1448285,0
2015-Broome,2015,Broome,196201,71
2015-Cattaraugus,2015,Cattaraugus,76211,6
2015-Cayuga,2015,Cayuga,78420,8
2015-Chautauqua,2015,Chautauqua,131108,40
2015-Chemung,2015,Chemung,87307,21
2015-Chenango,2015,Chenango,49105,6
2015-Clinton,2015,Clinton,81364,6
2015-Columbia,2015,Columbia,61779,4
2015-Cortland,2015,Cortland,48870,3
2015-Delaware,2015,Delaware,45371,8
2015-Dutchess,2015,Dutchess,295721,69
2015-Erie,2015,Erie,922022,1022
2015-Essex,2015,Essex,36992,3
2015-Franklin,2015,Franklin,51082,3
2015-Fulton,2015,Fulton,53542,10
2015-Genesee,2015,Genesee,58705,4
2015-Greene,2015,Greene,47590,3
2015-Hamilton,2015,Hamilton,4678,0
2015-Herkimer,2015,Herkimer,63446,4
2015-Jefferson,2015,Jefferson,119514,17
2015-Kings,2015,Kings,2640252,0
2015-Lewis,2015,Lewis,27205,4
2015-Livingston,2015,Livingston,64291,6
2015-Madison,2015,Madison,71972,6
2015-Monroe,2015,Monroe,749690,727
2015-Montgomery,2015,Montgomery,49555,9
2015-Nassau,2015,Nassau,1360265,368
2015-New York,2015,New York,1647788,0
2015-Niagara,2015,Niagara,212368,145
2015-Oneida,2015,Oneida,231920,110
2015-Onondaga,2015,Onondaga,467471,277
2015-Ontario,2015,Ontario,109863,9
2015-Orange,2015,Orange,376037,165
2015-Orleans,2015,Orleans,41689,10
2015-Oswego,2015,Oswego,120368,9
2015-Otsego,2015,Otsego,60737,4
2015-Putnam,2015,Putnam,99220,0
2015-Queens,2015,Queens,2337925,0
2015-Rensselaer,2015,Rensselaer,159567,104
